generic_name,syn_name,dosage,drug_type,ed_category,ed_meaning,reimbursement_note,badge_color,drug_group_en,drug_subgroup_en,icd10_chapter,icd10_chapter_th,recommendation_note,condition_note,warning_note,remark,source_name,source_url,publisher
Losartan potassium,,"tab (เฉพาะ 50, 100 mg)",,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Cardiovascular system,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้กับผู้ป่วยที่ใช้ยาในกลุ่ม Angiotensin-converting enzyme inhibitors ไม่ได้ เนื่องจากเกิดอาการไม่พึงประสงค์จากการใช้ยาในกลุ่มดังกล่าว,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Glyceryl trinitrate,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ hypertensive emergencies ในกรณีที่มี coronary ischemia,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Isosorbide dinitrate,,"tab, sublingual tab",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Isosorbide mononitrate,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Amlodipine besilate,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Diltiazem hydrochloride,,slow release cap/tab (เฉพาะ 120 mg)  ไม่รวมชนิด controlled release,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ ischemic heart disease (IHD),,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Verapamil hydrochloride,,"tab, SR tab (เฉพาะ 240 mg)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ ischemic heart disease (IHD),,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Diltiazem hydrochloride,,immediate release tab,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ ischemic heart disease (IHD) ไม่แนะนำให้ใช้ในการรักษา essential hypertension,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nicardipine hydrochloride,,sterile sol,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้กับผู้ป่วย hypertensive  emergencies ที่ไม่มีภาวะแทรกซ้อนทางหัวใจ 
2. ใช้เป็นยาแทน (alternative drug) ในกรณีที่ไม่สามารถใช้ยา sodium nitroprusside หรือ glyceryl trinitrate (nitroglycerin) ได้",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nifedipine,,SR cap/SR tab (เฉพาะ 20 mg),,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้สำหรับความดันเลือดสูงในหญิงตั้งครรภ์ที่ใช้ methyldopa และ hydralazine แล้วไม่ได้ผล
2. ใช้สำหรับ intractable Raynaud’s phenomenon",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nimodipine,,"tab, sterile sol",,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,ใช้โดยแพทย์ผู้เชี่ยวชาญด้านประสาทวิทยาและประสาทศัลยศาสตร์สำหรับป้องกันพยาธิสภาพของระบบประสาทที่อาจดำเนินต่อไปจากการหดตัวของหลอดเลือด ภายหลังการเกิด subarachnoid hemorrhage,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sildenafil (as citrate),,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,"Nitrates, calcium-channel blockers and other vasodilators",IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้สำหรับผู้ป่วยภาวะ pulmonary arterial hypertension (PAH) ที่เกิดจากโรคหัวใจแต่กำเนิด (CHD) ชนิด  systemic-to-pulmonary shunt หรือโรค idiopathic pulmonary arterial hypertension (IPAH) หรือ  PAH associated with connective tissue disease (CNTD) และ
2. อยู่ใน WHO functional classification of PAH ≥ II และ
3. ได้รับการตรวจวินิจฉัยตามขั้นตอนวิธีที่ปรากฏในแนวทางเวชปฏิบัติ 
4. แนะนำให้หยุดยาเมื่อผลการประเมินทุก 3 เดือนมีอาการทรุดลงอย่างต่อเนื่องอย่างน้อย 2 รอบการประเมินเกณฑ์อาการทรุดลงหมายถึงการตรวจพบอย่างน้อย 2 ข้อต่อไปนี้คือ
     4.1 ตรวจร่างกายมีอาการแสดงของ progressive right heart failure
     4.2 WHO functional classification เพิ่มขึ้นกว่าเดิม
     4.3 6MWT ลดลงกว่าเดิม 25%
     4.4 Echocardiography พบลักษณะที่บ่งชี้ว่าอาการทรุดลงเช่น right atrium และ right ventricle โตขึ้นกว่าเดิม, right ventricular systolic pressure (RVSP) สูงขึ้นกว่าเดิม, RV dysfunction, TAPSE < 1.5 cm, RAP > 15 mmHg, CI ≤ 2 L/min/m2, pericardial effusion",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Dopamine hydrochloride,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Sympathomimetics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Isoprenaline hydrochloride,Isoproterenol hydrochloride,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Sympathomimetics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Dobutamine hydrochloride,,sterile sol,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Cardiovascular system,Sympathomimetics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Norepinephrine,Noradrenaline,sterile sol (as bitartrate or hydrochloride),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Sympathomimetics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ephedrine hydrochloride,,sterile sol,วัตถุที่ออกฤทธิ์ต่อจิตและประสาทประเภท 2,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Sympathomimetics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Epinephrine,Adrenaline,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Sympathomimetics,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Warfarin sodium,,tab,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Anticoagulants,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Heparin sodium,,sterile sol,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Anticoagulants,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Enoxaparin sodium,,sterile sol,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Anticoagulants,IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้สำหรับ deep vein thrombosis และ pulmonary embolism
2. ใช้สำหรับ venous stroke และ cardioembolic stroke
3. ใช้กับผู้ป่วย acute coronary syndrome (ACS) ที่ต้องรับการรักษาด้วยวิธี Percutaneous Coronary Intervention",,ในกรณี ACS ที่มีแผนการรักษาแบบ conservative ให้ใช้ fondaparinux แทน ซึ่งมีราคายาตามหมายเหตุของรายการยาลำดับที่ 4,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Fondaparinux sodium,,sterile sol (2.5 mg/0.5 ml),,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Anticoagulants,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ acute coronary syndrome ที่ไม่ต้องทำ Percutaneous Coronary Intervention (conservative management),,ราคายา fondaparinux sodiumขนาด 2.5 mg (0.5 ml) ที่ต่อรองได้ syringe ละไม่เกิน 208.65 บาท (ราคารวมภาษีมูลค่าเพิ่ม) กำหนดยืนราคา 730 วัน  นับจากวันถัดจากวันประกาศในราชกิจจานุเบกษา เงื่อนไขและรายละเอียดอื่นๆ ให้ดูตามแบบเสนอยาในเว็บไซต์ www.nlem.in.th,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Aspirin,Acetylsalicylic acid,"tab (เฉพาะ 75-325 mg), EC tab (เฉพาะ 75-325 mg)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Antiplatelet drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Clopidogrel bisulfate,,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Antiplatelet drugs,IX,โรคระบบไหลเวียนโลหิต,,"1.  ใช้กับผู้ป่วยที่ใช้ aspirin ไม่ได้ เฉพาะกรณีที่ใช้ป้องกันโรคเกี่ยวกับหลอดเลือดหัวใจหรือสมองแบบ
ทุติยภูมิ (secondary prevention)
2.  ให้ร่วมกับ aspirin หลังการใส่ขดลวดค้ำยันผนังหลอดเลือด (stent) เป็นระยะเวลาไม่เกิน 1 ปี
3.  ใช้ในกรณีผู้ป่วยโรคหลอดเลือดหัวใจที่ได้รับ aspirin แล้วยังเกิด acute coronary syndrome หรือ  recurrent thrombotic events
4.  ในกรณีที่ได้รับการวินิจฉัยอย่างชัดเจนแล้วว่าเป็น non-ST elevated acute coronary syndrome ให้ใช้ clopidogrel ร่วมกับ aspirin เป็นระยะเวลาไม่เกิน 1 ปี",,ระมัดระวังการใช้ยา clopidogrel ร่วมกับ aspirin เนื่องจากเพิ่มความเสี่ยงในการเกิดอาการเลือดออกได้มากกว่าการใช้ aspirin หรือ clopidogrel เพียงชนิดเดียว,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Dipyridamole,,sterile sol,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Antiplatelet drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับการตรวจวินิจฉัยเท่านั้น,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Eptifibatide,,sterile sol,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Antiplatelet drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้ร่วมกับการรักษาด้วยสายสวนขยายหลอดเลือดหัวใจเท่านั้น,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ticlopidine hydrochloride,,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Antiplatelet drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้กับผู้ป่วยที่ไม่สามารถใช้ clopidogrel ได้ยกเว้นกรณี atrial fibrillation,อาจทำให้เกิด neutropenia การสั่งใช้จึงต้องติดตามระดับเม็ดเลือดขาวทุก 2 สัปดาห์ติดต่อกันใน 3 เดือนแรก จากนั้นควรติดตามเป็นระยะร่วมกับการตรวจการทำงานของตับ,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Streptokinase,,sterile pwdr,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Fibrinolytic drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Alteplase,Recombinant tissue - type plasminogen activator,sterile pwdr,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Fibrinolytic drugs,IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้สำหรับ myocardial ischaemia หรือภาวะหลอดเลือดแดงส่วนปลายอุดตัน ในกรณีที่ผู้ป่วยแพ้ streptokinase หรือเคยได้รับ streptokinase ภายใน 1 ปี 
2. ใช้สำหรับ acute arterial ischaemic stroke โดยแพทย์ผู้เชี่ยวชาญด้านระบบประสาท
3. ใช้สำหรับ Massive pulmonary embolism ในผู้ป่วยที่มีความเสี่ยงต่อการเกิด massive bleeding และมี hemodynamic instability
4. ใช้ในกรณีที่มี acute vascular access thombosis (หมายถึง A-V fistula หรือ A-V graft สำหรับทำ hemodialysis)",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Tranexamic acid,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Hemostatics,IX,โรคระบบไหลเวียนโลหิต,,,ใช้กับผู้ป่วยที่ประสบอุบัติเหตุและมีภาวะเลือดออกรุนแรง การให้ยาภายใน 3 ชั่วโมงมีประสิทธิผลในการลดอัตราการเสียชีวิต แต่การให้ยาหลังจาก 3 ชั่วโมงอาจเพิ่มอัตราการเสียชีวิตจากภาวะเลือดออก,การใช้ tranexamic acid ไม่สามารถทดแทนการรักษาที่จำเป็นอื่นๆ ได้ เช่น การให้เลือด เป็นต้น,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Tranexamic acid,,cap,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Hemostatics,IX,โรคระบบไหลเวียนโลหิต,,,"1.  ใช้ในทางทันตกรรมเฉพาะกรณีห้ามเลือดด้วยวิธีปกติแล้วไม่ได้ผล
2.  ใช้ก่อนทำหัตถการในช่องปากในผู้ป่วยที่มีแนวโน้มเลือดออกแล้วหยุดยาก
3.  ใช้สำหรับภาวะระดูมากผิดปกติ (menorrhagia)",,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
"Human thrombin + Calcium chloride 
+ Fibrinogen +Tranexamic acid",,sterile sol,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Hemostatics,IX,โรคระบบไหลเวียนโลหิต,,"1.  ใช้สำหรับภาวะเลือดออกจากอุบัติเหตุ การถอนฟัน การผ่าตัดผู้ป่วยที่มีภาวะเลือดออกแล้วหยุดยาก เช่น hemophilia, thrombocytopenia, platelet dysfunction, von Willebrand's disease และ congenital factor VII deficiency เป็นต้น
2. ใช้กับผู้ป่วยที่ได้รับการผ่าตัดซึ่งไม่สามารถห้ามเลือดด้วยวิธีปกติได้ เช่น การผ่าตัดตับ การผ่าตัดหัวใจ การผ่าตัดปอด เป็นต้น",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
"Factor VIII concentrate, dried",,sterile preparation for intravenous use,,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Cardiovascular system,Hemostatics,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับโครงการศึกษาของสำนักงานหลักประกันสุขภาพแห่งชาติ ที่ชื่อว่า “โครงการพัฒนาระบบการบริหารจัดการ การดูแลผู้ป่วยกลุ่มโรคเลือดออกง่ายฮีโมฟีเลีย ในระบบประกันสุขภาพถ้วนหน้า” เท่านั้น,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
"Factor IX concentrate, dried",,sterile preparation for intravenous use,,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Cardiovascular system,Hemostatics,IX,โรคระบบไหลเวียนโลหิต,,"เช่นเดียวกับ Factor VIII concentrate, dried",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
"Factor IX complex (coagulation factors II, VII, IX, X) concentrate,  dried",,sterile preparation for intravenous use,,จ(1),ยาราคาแพง/ยาใหม่,ต้องขออนุมัติก่อนใช้,🟠,Cardiovascular system,Hemostatics,IX,โรคระบบไหลเวียนโลหิต,,"เช่นเดียวกับ Factor VIII concentrate, dried",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Gemfibrozil,,"cap (เฉพาะ 300, 600 mg), tab (เฉพาะ 600 mg)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Lipid-regulating drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nicotinic acid,,immediate release tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Lipid-regulating drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
